seed,x_cells,y_cells,area_cells,solute_mass
0,684.4560,92.9788,131,11.282172
0,962.8461,92.8620,75,5.298320
0,980.0726,92.6791,92,6.911920
0,177.7055,94.4199,124,10.568801
0,581.0392,92.8837,66,4.187316
0,884.5207,92.9679,57,3.639641
0,324.8348,96.9901,158,13.385574
0,356.8095,95.7828,116,9.797579
0,604.8204,95.4783,100,8.056014
0,200.1155,98.2785,143,12.746201
0,374.0989,95.0771,37,1.870030
0,725.2691,97.3953,97,7.815285
0,276.3506,98.0085,113,9.577219
0,490.5702,98.4884,94,7.707565
0,647.9934,97.1669,37,1.661453
0,818.9644,100.0759,97,7.646943
0,24.8183,100.7439,88,6.487732
0,398.0188,102.4143,138,12.238177
0,559.4208,101.9663,131,11.054213
0,752.9381,99.1556,47,2.837127
0,106.1818,101.2425,83,6.343443
0,699.0557,99.8080,42,2.337602
0,783.0809,102.6925,105,8.412763
0,871.5948,101.2341,81,5.947721
0,129.9074,104.1205,128,10.765184
0,437.0568,102.7939,94,7.066339
0,949.7874,99.8240,13,0.324876
0,42.3197,102.7897,67,4.327971
0,156.2068,105.3327,166,14.808555
0,219.1011,102.7913,65,4.325784
0,251.6267,103.4893,69,4.511157
0,453.1826,103.7434,79,5.704078
0,529.7624,104.5386,124,10.412722
0,840.8934,104.8541,131,11.079716
0,857.4253,100.6411,17,0.544237
0,895.7662,107.8092,143,11.649937
0,915.1026,105.4283,114,9.643850
0,933.3668,104.4748,86,6.498944
0,1002.3254,106.9869,123,10.266340
0,473.2614,106.7084,82,6.006112
0,591.8534,117.4301,222,16.820070
0,0.0483,108.5358,135,11.014664
0,58.4272,107.1640,58,3.760540
0,235.2637,108.5328,98,7.441910
0,308.4771,108.4613,112,8.838357
0,666.5602,107.9353,90,6.967933
0,505.0881,109.6451,105,8.620298
0,346.1676,107.3279,35,1.607820
0,376.9845,111.1379,129,10.975430
0,801.9327,107.2950,24,0.874917
0,633.2501,109.9450,63,3.949402
0,984.4453,110.7908,100,7.900678
0,182.9119,111.6831,78,5.335368
0,647.9302,111.2443,70,4.797714
0,740.5883,117.5514,183,14.887532
0,766.4242,115.5326,183,17.264554
0,958.6117,112.4903,119,10.118364
0,73.4758,112.8629,92,7.159447
0,419.7314,114.3893,149,13.079779
0,573.7544,113.4583,72,4.958847
0,614.0126,114.0468,97,7.598706
0,265.8810,115.0463,109,9.142006
0,288.8241,116.2425,118,9.657298
0,686.2390,115.0108,94,7.054869
0,718.7323,115.2723,96,7.565331
0,542.6282,113.6344,37,1.914451
0,90.8050,119.6911,160,14.133683
0,111.4640,117.1666,91,6.970209
0,17.9593,118.2952,129,11.026333
0,328.0665,118.8322,133,11.399791
0,702.5637,117.1441,81,6.108282
0,812.4732,118.6658,85,6.279618
0,828.9663,118.4922,73,4.800736
0,860.6878,119.4732,113,8.993107
